X,Y,TYPE,SPEED,DirType,Direction
-52.312977,-27.149264,8,0,1,157
-43.902589,-20.001384,8,0,1,298
-52.685662,-27.094325,8,0,1,97
-54.795198,-22.219389,8,0,2,83
-48.911771,-26.913524,8,0,2,112
-49.735857,-24.271928,8,0,2,183
-46.168366,-23.505430,8,0,1,58
-43.664312,-20.353684,8,0,2,117
-46.458983,-23.882532,8,0,1,48
-48.203884,-18.625669,8,0,2,177
-53.008309,-27.084735,8,0,1,318
-54.801919,-22.220092,8,0,1,83
-49.160110,-26.823028,8,0,1,332
-49.172306,-28.323893,8,0,1,86
-44.006260,-22.940030,8,0,2,48
-48.599286,-27.845890,8,0,2,62
-49.079906,-26.766915,8,0,1,9
-51.081145,-30.003533,8,0,1,45
-53.002423,-27.086883,8,0,1,53
-48.981577,-26.912885,8,0,2,137
-49.603860,-27.404241,8,0,1,176
-49.137606,-28.277703,8,0,2,75
-44.017815,-22.949297,8,0,0,13
-45.878758,-22.087379,8,0,0,2
-48.026613,-15.958987,8,0,1,321
-51.080343,-30.002832,8,0,1,225
-52.614709,-27.131954,8,0,0,177
-54.790897,-22.227075,8,0,0,87
-52.667997,-27.096205,8,0,1,97
-49.085984,-28.319520,8,0,2,137
-44.029072,-22.959953,8,0,0,60
-45.879138,-22.034006,8,0,0,34
-49.311749,-26.826191,8,0,1,259
-47.650189,-15.621678,8,0,1,5
-53.185118,-26.768463,8,0,1,70
-53.636401,-27.660338,8,0,2,10
-35.833729,-9.735567,8,0,1,202
-35.656357,-9.575888,8,0,2,12
-53.620305,-25.050622,8,0,2,72
-45.877283,-22.031450,8,0,0,34
-35.833906,-9.736217,8,0,1,20
-42.268204,-4.228381,8,0,0,59
-53.190495,-26.774971,8,0,1,21
-53.636868,-27.662472,8,0,2,10
-35.822161,-9.712749,8,0,1,59
-48.856968,-27.267060,8,0,2,66
-42.008236,-22.688100,8,0,2,186
-43.675904,-20.347558,8,0,2,160
-35.821962,-9.712526,8,0,1,240
-46.381101,-23.544570,8,0,1,42
-49.079972,-26.766913,8,0,1,189
-53.637002,-27.664731,8,0,2,180
-42.131540,-19.769115,8,0,0,31
-46.730445,-23.794724,8,0,1,181
-48.901680,-27.075092,8,0,1,33
-41.420038,-21.835510,8,0,1,255
-50.441719,-27.266876,8,0,1,170
-50.224617,-25.056979,8,0,1,298
-49.086723,-26.790801,8,0,1,195
-53.698299,-27.457960,8,0,2,115
-48.639321,-26.968657,8,0,1,356
-40.414420,-20.273256,8,0,1,150
-46.780352,-22.713017,8,0,1,17
