X,Y,TYPE,SPEED,DirType,Direction
-49.723223,-22.893744,14,0,1,67
-46.179726,-23.198726,14,0,1,286
-49.106595,-20.934027,14,0,1,272
-55.636464,-12.614281,14,0,1,114
-52.326033,-31.851920,14,0,1,354
-50.858948,-29.925268,14,0,1,72
-51.253338,-22.304058,14,0,1,129
-38.361492,-12.848017,14,0,1,356
-49.723312,-22.893524,14,0,1,247
-47.562642,-23.227551,14,0,1,75
-49.106596,-20.934075,14,0,1,92
-55.636435,-12.614223,14,0,1,294
-52.526705,-31.819985,14,0,1,256
-52.326331,-31.851949,14,0,1,174
-51.253190,-22.303891,14,0,1,309
-38.361820,-12.848034,14,0,1,176
-52.073415,-29.519168,14,0,1,117
-48.515130,-23.082819,14,0,1,125
-49.898731,-22.336325,14,0,1,4
-50.790433,-24.382198,14,0,1,155
-52.318253,-31.625217,14,0,1,228
-49.699761,-25.725712,14,0,1,17
-56.039003,-13.812745,14,0,1,50
-47.635312,-23.317249,14,0,1,281
-52.074606,-29.518715,14,0,1,290
-49.318406,-25.714604,14,0,1,178
-49.898935,-22.336307,14,0,1,183
-46.947078,-21.705600,14,0,1,216
-52.640555,-31.449689,14,0,1,334
-47.004088,-23.403717,14,0,1,198
-56.039034,-13.812724,14,0,1,230
-47.635290,-23.317952,14,0,1,86
-41.100919,-15.232432,14,0,1,30
-49.904114,-25.468386,14,0,1,123
-47.980753,-21.234390,14,0,1,314
-48.412167,-24.964137,14,0,1,141
-52.049353,-31.026314,14,0,1,338
-42.623092,-22.416546,14,0,1,83
-43.919040,-22.485362,14,0,1,318
-48.157531,-19.180789,14,0,1,164
-55.975473,-12.968477,14,0,1,155
-50.716476,-25.436161,14,0,1,152
-47.560248,-22.845444,14,0,1,157
-38.394979,-12.718522,14,0,1,167
-50.942017,-30.110692,14,0,1,320
-46.143057,-23.861115,14,0,1,10
-50.426536,-27.049065,14,0,1,25
-48.157252,-19.180732,14,0,1,344
-55.975356,-12.968406,14,0,1,335
-50.542841,-25.156942,14,0,1,263
-47.560077,-22.845394,14,0,1,336
-41.101058,-15.232318,14,0,1,210
-50.859166,-29.924810,14,0,1,252
-46.841473,-23.076888,14,0,1,215
-50.426714,-27.048983,14,0,1,205
-35.022900,-8.433858,14,0,1,33
-51.008343,-22.435298,14,0,1,122
-51.168309,-25.309527,14,0,1,236
-47.360674,-23.134684,14,0,1,325
-50.221833,-26.571007,14,0,1,176
-50.448958,-29.886069,14,0,1,72
-46.841202,-23.077082,14,0,1,36
-50.335757,-27.697676,14,0,1,168
-56.585490,-15.147497,14,0,1,112
-51.008243,-22.435157,14,0,1,302
-47.980811,-21.234417,14,0,1,133
-47.360808,-23.134743,14,0,1,145
-50.221516,-26.571011,14,0,1,356
-50.592024,-29.732204,14,0,1,260
-47.582556,-22.544274,14,0,1,175
-50.335633,-27.697668,14,0,1,348
-48.235481,-18.749974,14,0,1,45
-47.563259,-23.510432,14,0,1,78
-48.247411,-21.667205,14,0,1,325
-49.662004,-25.471386,14,0,1,260
-46.813061,-23.601999,14,0,1,192
-52.715213,-29.680797,14,0,1,120
-47.808167,-22.129060,14,0,1,152
-50.194937,-21.415605,14,0,1,300
-48.235662,-18.749761,14,0,1,235
-54.581543,-16.349917,14,0,1,172
-46.542100,-23.756570,14,0,1,48
-50.086790,-24.912135,14,0,1,227
-47.722406,-24.389364,14,0,1,31
-52.277853,-29.667734,14,0,1,253
-48.261843,-21.753191,14,0,1,133
-38.316105,-12.436830,14,0,1,151
-48.046705,-18.539460,14,0,1,29
-54.392132,-15.584247,14,0,1,150
-46.581611,-23.763828,14,0,1,273
-49.778709,-24.319357,14,0,1,229
-47.722728,-24.389159,14,0,1,211
-51.078604,-29.656455,14,0,1,228
-50.732928,-29.323626,14,0,1,115
-38.315867,-12.436688,14,0,1,331
-48.046808,-18.539383,14,0,1,209
-54.391906,-15.584148,14,0,1,330
-48.722269,-26.591732,14,0,1,185
-49.170616,-22.451015,14,0,1,64
-48.082559,-24.722519,14,0,1,68
-50.802242,-29.485154,14,0,1,306
-50.802323,-29.485231,14,0,1,135
-38.431382,-12.691243,14,0,1,88
-47.829222,-19.915606,14,0,1,327
-54.581309,-16.349922,14,0,1,352
-47.813641,-20.380202,14,0,1,181
-49.170683,-22.450803,14,0,1,247
-48.082631,-24.722334,14,0,1,248
-50.936843,-29.390766,14,0,1,114
-52.277823,-29.667823,14,0,1,75
-38.431387,-12.691088,14,0,1,268
-47.829454,-19.915752,14,0,1,147
-45.779363,-23.295888,14,0,1,138
-41.331889,-21.552735,14,0,1,130
-49.144409,-22.875035,14,0,1,315
-46.595249,-23.752422,14,0,1,161
-51.650203,-29.334847,14,0,1,231
-52.049582,-31.026395,14,0,1,158
-55.587352,-12.311458,14,0,1,290
-45.021230,-18.565395,14,0,1,158
-45.779120,-23.295659,14,0,1,318
-46.696472,-21.930453,14,0,1,181
-49.478447,-22.748878,14,0,1,222
-55.763904,-12.484338,14,0,1,344
-50.732897,-29.323561,14,0,1,298
-52.318154,-31.625304,14,0,1,51
-55.587378,-12.311508,14,0,1,110
-45.021058,-18.565336,14,0,1,339
-45.525043,-23.550419,14,0,1,157
-47.902474,-22.263917,14,0,1,82
-49.478270,-22.749027,14,0,1,42
-55.764009,-12.484367,14,0,1,164
-51.899777,-29.284936,14,0,1,225
-52.640707,-31.449774,14,0,1,143
-34.999463,-8.319218,14,0,1,179
-49.018907,-16.438460,14,0,1,3
-45.524708,-23.550264,14,0,1,337
-48.243926,-22.256015,14,0,1,135
-48.934248,-25.289127,14,0,1,205
-47.575410,-23.050787,14,0,1,253
-51.182138,-28.995732,14,0,1,358
-43.188069,-22.647386,14,0,1,97
-34.998895,-8.274170,14,0,1,200
-49.019569,-16.438431,14,0,1,187
-43.398970,-22.895802,14,0,1,337
-48.332571,-21.557630,14,0,1,4
-48.933854,-25.289267,14,0,1,26
-47.575370,-23.050847,14,0,1,73
-48.612118,-27.184892,14,0,1,3
-52.715091,-29.680628,14,0,1,304
-49.909470,-22.091092,14,0,1,63
-46.240007,-19.647168,14,0,1,291
-43.399508,-22.896007,14,0,1,157
-34.940196,-8.238854,14,0,1,168
-48.411774,-24.964044,14,0,1,321
-47.777886,-23.552629,14,0,1,261
-48.612625,-27.184888,14,0,1,183
-48.516641,-22.837969,14,0,1,313
-49.909606,-22.090863,14,0,1,243
-48.589445,-16.115644,14,0,1,197
-48.564032,-22.408389,14,0,1,352
-50.936806,-29.390667,14,0,1,293
-52.491410,-25.347070,14,0,1,139
-50.449092,-29.885715,14,0,1,251
-48.721848,-26.591807,14,0,1,5
-47.147058,-23.055115,14,0,1,65
-50.119861,-22.331097,14,0,1,77
-48.589167,-16.115833,14,0,1,9
-48.564275,-22.408406,14,0,1,172
-50.193555,-23.037179,14,0,1,317
-48.537000,-20.688641,14,0,1,161
-51.415469,-29.335863,14,0,0,112
-48.881151,-25.991753,14,0,1,330
-47.146578,-23.055740,14,0,1,44
-50.120004,-22.330815,14,0,1,257
-43.951287,-20.273050,14,0,1,138
-46.240077,-19.647319,14,0,1,111
-48.789225,-21.543755,14,0,1,257
-43.086197,-22.657367,14,0,1,273
-51.188043,-28.938456,14,0,0,5
-49.699967,-25.725632,14,0,1,215
-44.423880,-20.268267,14,0,1,200
-49.304612,-21.661864,14,0,1,249
-43.950954,-20.272772,14,0,1,323
-51.361655,-29.819530,14,0,1,277
-49.105029,-21.068042,14,0,1,309
-45.698025,-23.155740,14,0,1,221
-51.347120,-29.322937,14,0,0,69
-49.318129,-25.714612,14,0,1,359
-49.843149,-25.347011,14,0,1,139
-49.304574,-21.662141,14,0,1,69
-43.806814,-20.766965,14,0,1,199
-51.361674,-29.819638,14,0,1,97
-49.317918,-20.589618,14,0,1,341
-51.859058,-25.443591,14,0,1,265
-51.292739,-29.639762,14,0,1,134
-49.036514,-25.552311,14,0,1,298
-48.881693,-25.992028,14,0,1,149
-44.371254,-18.959856,14,0,1,147
-43.806511,-20.767031,14,0,1,7
-51.776283,-29.622016,14,0,1,327
-51.650136,-29.334896,14,0,1,49
-46.153960,-23.384075,14,0,1,250
-51.292642,-29.639707,14,0,1,314
-49.662014,-25.471714,14,0,1,87
-49.466458,-21.959033,14,0,1,143
-44.371132,-18.959778,14,0,1,327
-55.829509,-15.701918,14,0,1,272
-51.776479,-29.622131,14,0,1,144
-51.899716,-29.284961,14,0,1,40
-50.976735,-21.140474,14,0,1,304
-51.172967,-28.667893,14,0,0,104
-49.904040,-25.468304,14,0,1,304
-49.130046,-25.747789,14,0,1,164
-47.714643,-22.606439,14,0,1,0
-55.829511,-15.702125,14,0,1,90
-52.390887,-28.910886,14,0,1,325
-50.592011,-29.732312,14,0,1,79
-50.976843,-21.140629,14,0,1,124
-51.417684,-29.673750,14,0,0,113
-51.859033,-25.443831,14,0,1,85
-49.129360,-25.747632,14,0,1,343
-47.714915,-22.606417,14,0,1,180
-54.714292,-16.393620,14,0,1,188
-52.391069,-28.911008,14,0,1,145
-48.390059,-21.126394,14,0,1,165
-51.223534,-20.985042,14,0,1,124
-54.714061,-16.393655,14,0,1,8
-50.716262,-25.436051,14,0,1,333
-50.408966,-24.923702,14,0,1,332
-49.132758,-12.942674,14,0,1,21
-44.506754,-19.909917,14,0,1,113
-49.996612,-29.520713,14,0,1,59
-45.240418,-21.545606,14,0,1,210
-51.223406,-20.984839,14,0,1,304
-46.464278,-23.716261,14,0,1,85
-54.364160,-25.426877,14,0,1,237
-49.466203,-21.958883,14,0,1,323
-43.104971,-11.089783,14,0,1,116
-46.464416,-23.715743,14,0,1,260
-49.996870,-29.520477,14,0,1,239
-47.047900,-21.640792,14,0,1,188
-50.732318,-21.210329,14,0,1,97
-46.344231,-23.458294,14,0,1,81
-49.842953,-25.346938,14,0,1,318
-48.085910,-23.245821,14,0,1,275
-49.132895,-12.942613,14,0,1,201
-46.358370,-23.425225,14,0,1,329
-52.645407,-28.494819,14,0,1,354
-47.609227,-21.658426,14,0,1,169
-47.481663,-22.373061,14,0,1,106
-45.584617,-19.788132,14,0,1,261
-52.491263,-25.346959,14,0,1,320
-51.078492,-29.656576,14,0,1,51
-43.884724,-22.904686,14,0,1,73
-45.584589,-19.788353,14,0,1,78
-52.645550,-28.494823,14,0,1,174
-47.535740,-21.869660,14,0,1,59
-47.216683,-22.368336,14,0,1,86
-54.329795,-23.865154,14,0,1,329
-51.168224,-25.309627,14,0,1,57
-50.942170,-30.110806,14,0,1,138
-43.884764,-22.904596,14,0,1,257
-54.329953,-23.865227,14,0,1,148
-48.061632,-22.564840,14,0,1,85
-47.051619,-21.918876,14,0,1,347
-47.192932,-22.514659,14,0,1,144
-53.213814,-17.958743,14,0,1,332
-50.542820,-25.157119,14,0,1,83
-49.627922,-20.997671,14,0,1,37
-54.009474,-14.593722,14,0,1,212
-53.214007,-17.958749,14,0,1,152
-48.261661,-22.405001,14,0,1,275
-46.877944,-20.842844,14,0,1,22
-47.192760,-22.514560,14,0,1,326
-53.237996,-17.379998,14,0,1,30
-53.713532,-25.084037,14,0,1,250
-49.628056,-20.997567,14,0,1,216
-54.009348,-14.593810,14,0,1,32
-53.238119,-17.379919,14,0,1,210
-48.261672,-22.405150,14,0,1,95
-45.974344,-20.511713,14,0,1,221
-47.154901,-22.690093,14,0,1,330
-50.955308,-21.959217,14,0,1,236
-53.278639,-25.021606,14,0,1,333
-46.859824,-22.953700,14,0,1,304
-54.127912,-15.224696,14,0,1,16
-50.955152,-21.959410,14,0,1,56
-49.312570,-22.495353,14,0,1,328
-48.731447,-21.383099,14,0,1,302
-47.142729,-22.713091,14,0,1,359
-51.237090,-22.143294,14,0,1,255
-50.409186,-24.923785,14,0,1,152
-44.701349,-20.591743,14,0,1,237
-54.127993,-15.224649,14,0,1,196
-51.237007,-22.143604,14,0,1,75
-49.312741,-22.495442,14,0,1,148
-43.381960,-22.208932,14,0,1,65
-47.155151,-22.690216,14,0,1,150
-49.286202,-22.345586,14,0,1,320
-50.086613,-24.912304,14,0,1,47
-47.984490,-23.031092,14,0,1,320
-48.563745,-25.854581,14,0,1,216
-49.286365,-22.345720,14,0,1,140
-50.517133,-22.572230,14,0,1,312
-42.861648,-21.962432,14,0,1,49
-46.894235,-23.055264,14,0,1,252
-49.742539,-22.213692,14,0,1,251
-53.268675,-24.743942,14,0,1,259
-47.984584,-23.031174,14,0,1,135
-47.775504,-20.352551,14,0,1,15
-49.742447,-22.213965,14,0,1,71
-50.517321,-22.572409,14,0,1,132
-52.501063,-24.197777,14,0,1,198
-46.894200,-23.055368,14,0,1,76
-50.112222,-22.141078,14,0,1,294
-47.549604,-24.706900,14,0,1,91
-47.708707,-22.910442,14,0,1,33
-47.775545,-20.352533,14,0,1,195
-50.112314,-22.141260,14,0,1,114
-51.020896,-22.218554,14,0,1,299
-52.107470,-23.636480,14,0,1,221
-38.431286,-12.751077,14,0,1,326
-50.721161,-21.841931,14,0,1,305
-50.790232,-24.382128,14,0,1,335
-47.351436,-22.978039,14,0,1,254
-47.867561,-20.313692,14,0,1,62
-50.721301,-21.842092,14,0,1,125
-51.021017,-22.218722,14,0,1,119
-51.089004,-24.034373,14,0,1,294
-38.431761,-12.751331,14,0,1,146
-50.982072,-21.733686,14,0,1,308
-49.778599,-24.319486,14,0,1,49
-47.351405,-22.978179,14,0,1,73
-47.867589,-20.313607,14,0,1,242
-50.982246,-21.733915,14,0,1,128
-49.035643,-13.795217,14,0,1,12
-53.268659,-24.744032,14,0,1,79
-38.708298,-12.451496,14,0,1,308
-51.311672,-21.545749,14,0,1,285
-52.500980,-24.197792,14,0,1,17
-48.904534,-22.513333,14,0,1,296
-48.569590,-25.867169,14,0,1,333
-51.311760,-21.545969,14,0,1,105
-49.035778,-13.795156,14,0,1,192
-53.278810,-25.021683,14,0,1,152
-38.708589,-12.451825,14,0,1,128
-51.712978,-21.361240,14,0,1,300
-47.325979,-24.157957,14,0,1,25
-48.904666,-22.513464,14,0,1,116
-43.097977,-22.161069,14,0,0,5
-51.713068,-21.361383,14,0,1,120
-48.990258,-11.446282,14,0,1,13
-53.713452,-25.084238,14,0,1,66
-57.432251,-19.505302,14,0,1,2
-47.807150,-22.648061,14,0,1,284
-49.227474,-24.090737,14,0,1,70
-48.688753,-22.675872,14,0,1,131
-44.098292,-23.005474,14,0,0,43
-47.807247,-22.648397,14,0,1,104
-48.990387,-11.446244,14,0,1,193
-54.363960,-25.427130,14,0,1,65
-57.432342,-19.505294,14,0,1,184
-48.061637,-22.564692,14,0,1,265
-51.089073,-24.034498,14,0,1,115
-49.808315,-21.711276,14,0,1,55
-43.028947,-22.607713,14,0,1,42
-51.900979,-29.704955,14,0,1,272
-49.150642,-12.340204,14,0,1,13
-47.193326,-21.807819,14,0,1,268
-46.593849,-23.765494,14,0,1,90
-51.900986,-29.705116,14,0,1,92
-46.287972,-23.989418,14,0,1,320
-49.808449,-21.711096,14,0,1,235
-43.029094,-22.607604,14,0,1,222
-49.042227,-14.814214,14,0,1,336
-49.150904,-12.340128,14,0,1,193
-51.182238,-28.995735,14,0,1,178
-46.762907,-23.781126,14,0,1,349
-49.042451,-14.814295,14,0,1,156
-46.463695,-23.939430,14,0,1,346
-38.318596,-12.778509,14,0,1,30
-42.980308,-22.671892,14,0,1,303
-49.284037,-14.799389,14,0,1,32
-46.198960,-22.289731,14,0,1,61
-45.598332,-20.487160,14,0,1,242
-46.626061,-23.094364,14,0,1,308
-49.284191,-14.799313,14,0,1,212
-48.574797,-23.938660,14,0,1,100
-38.318870,-12.778337,14,0,1,210
-42.980497,-22.672032,14,0,1,123
-49.158303,-14.373013,14,0,1,179
-46.199037,-22.289586,14,0,1,241
-50.145943,-22.769284,14,0,1,119
-47.041258,-23.056623,14,0,1,305
-49.158091,-14.373005,14,0,1,359
-46.302128,-23.894869,14,0,1,334
-56.415654,-15.349910,14,0,1,338
-55.659961,-11.667979,14,0,1,280
-49.281652,-15.827181,14,0,1,145
-48.242230,-23.873806,14,0,1,44
-50.496427,-22.632700,14,0,1,274
-38.394662,-12.718426,14,0,1,347
-49.281520,-15.827076,14,0,1,325
-46.144971,-23.855198,14,0,1,162
-56.415772,-15.349933,14,0,1,158
-56.652451,-11.526411,14,0,1,291
-48.841440,-16.003816,14,0,1,200
-46.582595,-23.820744,14,0,1,165
-50.496438,-22.632853,14,0,1,94
-50.145853,-22.769188,14,0,1,299
-48.841333,-16.003905,14,0,1,20
-45.398739,-23.809093,14,0,1,132
-44.456895,-18.431372,14,0,1,356
-56.103331,-11.638123,14,0,1,261
-54.198925,-23.167585,14,0,1,5
-46.519599,-23.789249,14,0,1,134
-40.965987,-20.878686,14,0,1,52
-52.127843,-23.292294,14,0,1,103
-54.199144,-23.167568,14,0,1,184
-46.914159,-23.787612,14,0,1,185
-44.457052,-18.431374,14,0,1,176
-56.461295,-12.825447,14,0,1,148
-42.710329,-21.638851,14,0,1,73
-46.592681,-23.764068,14,0,1,70
-40.966161,-20.878499,14,0,1,228
-51.739261,-23.505761,14,0,1,102
-42.710358,-21.638695,14,0,1,253
-46.611109,-23.681704,14,0,1,139
-44.495922,-18.867296,14,0,1,179
-56.461204,-12.825392,14,0,1,328
-42.412351,-21.278548,14,0,1,63
-52.107413,-23.636531,14,0,1,40
-40.478485,-20.519265,14,0,1,349
-51.399088,-23.361009,14,0,1,47
-42.412439,-21.278366,14,0,1,242
-46.812776,-23.599989,14,0,1,193
-44.495712,-18.867295,14,0,1,359
-51.256404,-19.546771,14,0,1,325
-42.163095,-20.430266,14,0,1,15
-47.038822,-23.599559,14,0,1,286
-40.478677,-20.519283,14,0,1,169
-50.959988,-23.279014,14,0,1,327
-42.163222,-20.430232,14,0,1,195
-46.810590,-23.594984,14,0,1,19
-43.849647,-17.014066,14,0,1,176
-51.256643,-19.546890,14,0,1,145
-42.134478,-19.467582,14,0,1,205
-46.809833,-23.588455,14,0,1,199
-40.396688,-20.032626,14,0,1,145
-51.599927,-22.020918,14,0,1,120
-41.989371,-19.027387,14,0,1,19
-46.819176,-23.564448,14,0,1,351
-43.849472,-17.014051,14,0,1,356
-51.118096,-19.851520,14,0,1,24
-41.989473,-19.027347,14,0,1,199
-47.777811,-23.552896,14,0,1,83
-40.396450,-20.032472,14,0,1,325
-49.909794,-23.003933,14,0,1,60
-47.174181,-19.133737,14,0,1,6
-46.820411,-23.552048,14,0,1,168
-44.052771,-17.521030,14,0,1,178
-51.118287,-19.851431,14,0,1,204
-47.174295,-19.133711,14,0,1,186
-46.940837,-23.518048,14,0,1,264
-40.177550,-19.563182,14,0,1,34
-46.424883,-22.908637,14,0,1,207
-47.850562,-19.203312,14,0,1,307
-46.813737,-23.517980,14,0,1,27
-44.052610,-17.521017,14,0,1,358
-51.324361,-20.215426,14,0,1,7
