X,Y,TYPE,SPEED,DirType,Direction
-46.077937,-23.462843,7,0,1,200
-50.247757,-29.857127,7,0,1,15
-47.438951,-22.017976,7,0,1,343
-49.314652,-23.244761,7,0,1,135
-49.971823,-20.409248,7,0,1,298
-42.684147,-5.056820,7,0,1,78
-53.055412,-29.750538,7,30,1,90
-50.993512,-23.262082,7,30,1,85
-51.077820,-18.510857,7,30,1,48
-41.471741,-19.136069,7,30,1,157
-50.608105,-23.160102,7,30,1,200
-42.655716,-21.542344,7,30,1,218
-53.833206,-24.347917,7,30,1,358
-54.264215,-23.037834,7,30,1,303
-52.394669,-29.691703,7,30,1,275
-49.409558,-16.850831,7,30,2,50
-50.320284,-16.561702,7,30,0,123
-52.394667,-29.691756,7,30,1,95
-40.940015,-18.772762,7,30,0,91
-42.655590,-21.542639,7,30,1,60
-35.010694,-8.320626,7,30,1,315
-46.468101,-23.767047,7,30,1,232
-53.041509,-26.114863,7,30,1,121
-54.053517,-24.517948,7,30,0,159
-47.558413,-4.282878,7,30,1,172
-54.245350,-24.073810,7,30,1,129
-48.939714,-23.130102,7,30,1,10
-34.921487,-7.140916,7,30,1,312
-36.025933,-9.171893,7,30,1,225
-51.177126,-23.919852,7,30,1,324
-53.833259,-24.347920,7,30,1,179
-50.608065,-23.160190,7,30,1,20
-47.558155,-4.282878,7,30,1,352
-41.743802,-12.467262,7,30,0,152
-51.077866,-18.510843,7,30,1,228
-53.127155,-25.095569,7,30,0,152
-36.025900,-9.171919,7,30,1,45
-49.109156,-16.773264,7,30,1,138
-53.666914,-23.796737,7,30,1,60
-35.470026,-6.816676,7,30,0,35
-48.512189,-8.821003,7,30,0,180
-40.875766,-14.912298,7,30,0,31
-53.055427,-29.750426,7,30,1,270
-46.235863,-19.022519,7,30,0,144
-53.041238,-26.114737,7,30,1,333
-43.457908,-21.599577,7,30,0,11
-37.526349,-11.523211,7,30,1,44
-47.025328,-15.747898,7,30,1,150
-48.878308,-10.193684,7,30,0,151
-47.025222,-15.747843,7,30,1,330
-53.666924,-23.796708,7,30,1,240
-49.109005,-16.773147,7,30,1,318
-48.939757,-23.130101,7,30,1,190
-43.860560,-19.828239,7,30,1,6
-46.467933,-23.767258,7,30,1,52
-52.927270,-23.362320,7,30,2,113
-49.064891,-11.674121,7,30,1,18
-43.860726,-19.828225,7,30,1,186
-37.526373,-11.523191,7,30,1,224
-50.993532,-23.261944,7,30,1,264
-51.218697,-26.313312,7,30,0,29
-47.529710,-14.720519,7,30,0,51
-46.720657,-21.949173,7,30,2,42
-37.837651,-10.709831,7,30,0,135
-49.064942,-11.674098,7,30,1,197
-48.080282,-16.382145,7,30,0,68
-53.875911,-25.179115,7,30,0,147
-48.636685,-25.951964,7,30,1,84
-48.636739,-25.951736,7,30,1,264
-47.518097,-2.423786,7,30,0,147
-38.514664,-12.669209,7,30,1,135
-46.460341,-18.569068,7,30,1,1
-40.136516,-13.881042,7,30,0,28
-37.150286,-11.107433,7,30,2,31
-38.514613,-12.669137,7,30,1,315
-40.395248,-14.542871,7,30,0,43
-52.393689,-25.377023,7,30,0,60
-48.570471,-18.130051,7,30,1,288
-40.339357,-20.096767,7,30,1,151
-41.471645,-19.136064,7,30,1,338
-54.245220,-24.073671,7,30,1,309
-48.777524,-23.468467,7,30,0,120
-53.708185,-20.461096,7,30,0,105
-48.570507,-18.130156,7,30,1,108
-51.177313,-23.919949,7,30,1,143
-42.250894,-21.386944,7,30,0,131
-54.264293,-23.037955,7,30,1,123
-46.460438,-18.569064,7,30,1,181
-34.921613,-7.140916,7,30,1,132
-60.692331,-0.223711,7,30,0,176
-35.011022,-8.320817,7,30,1,134
-51.725460,-19.099945,7,30,2,207
-37.538748,-10.989381,7,30,1,109
-37.538710,-10.989273,7,30,1,284
-37.160678,-10.958927,7,30,2,48
-54.330222,-23.822508,7,30,1,14
-54.330369,-23.822459,7,30,1,194
-54.821844,-22.568493,7,30,1,146
-54.821731,-22.568411,7,30,1,326
-40.339319,-20.096741,7,30,1,331
-51.768143,-20.632338,7,40,0,3
-41.194785,-14.101248,7,40,0,11
-47.522878,-6.587818,7,40,1,41
-46.121303,-7.499908,7,40,0,110
-39.173559,-12.992358,7,40,0,92
-50.680341,-24.386434,7,40,1,248
-48.065577,-16.215239,7,40,0,140
-40.077846,-19.422305,7,40,1,229
-35.326441,-5.748439,7,40,1,291
-51.858607,-23.951580,7,40,1,3
-47.522956,-6.587770,7,40,1,221
-52.378017,-28.236169,7,40,1,285
-51.552325,-27.173879,7,40,1,305
-50.680327,-24.386496,7,40,1,68
-52.304849,-31.613022,7,40,1,43
-39.303721,-14.579646,7,40,0,122
-60.071975,-1.884642,7,40,0,154
-51.858707,-23.951565,7,40,1,183
-48.167151,-7.217011,7,40,1,153
-42.791288,-4.898061,7,40,2,9
-37.427261,-10.705672,7,40,0,152
-50.067688,-23.342804,7,40,0,174
-38.529282,-10.813920,7,40,0,16
-50.639835,-24.631538,7,40,1,311
-59.868853,-3.192047,7,40,0,2
-51.859077,-23.951536,7,40,0,3
-48.307023,-7.323741,7,40,1,30
-52.049319,-23.547906,7,40,1,38
-38.642782,-3.724596,7,40,0,18
-51.518222,-25.285165,7,40,0,169
-38.794672,-12.575521,7,40,2,119
-53.998114,-24.571102,7,40,1,300
-60.765847,2.739088,7,40,0,68
-41.306435,-20.255648,7,40,0,127
-48.306739,-7.323139,7,40,1,210
-52.049431,-23.547811,7,40,1,218
-38.855568,-6.461803,7,40,0,3
-53.697345,-29.701811,7,40,0,85
-39.747475,-18.567469,7,40,1,253
-43.625216,-22.662599,7,40,1,245
-44.136974,-22.526586,7,40,2,29
-44.349769,-2.754248,7,40,1,214
-51.815080,-20.815825,7,40,1,286
-37.069410,-6.927170,7,40,2,73
-48.804336,-1.971082,7,40,0,171
-49.878796,-28.813789,7,40,0,131
-39.747448,-18.567504,7,40,1,72
-43.625120,-22.662820,7,40,1,65
-60.036132,-2.597761,7,40,0,14
-39.010567,-12.288400,7,40,1,86
-51.815098,-20.815908,7,40,1,106
-50.029885,-16.412399,7,40,0,145
-50.631246,-23.225675,7,40,0,159
-40.674724,-19.436884,7,40,0,12
-44.031051,-22.960969,7,40,2,59
-40.613676,-20.658873,7,40,1,294
-35.808664,-9.704813,7,40,1,239
-49.091891,-26.862497,7,40,2,98
-44.980041,-23.387431,7,40,0,47
-48.449637,-1.282717,7,40,0,85
-53.079520,-25.399454,7,40,0,91
-51.733549,-23.507001,7,40,1,102
-60.291783,-12.753723,7,40,0,42
-41.502141,-16.581349,7,40,1,342
-35.808454,-9.705085,7,40,1,59
-48.901985,-26.919605,7,40,2,127
-55.200540,-23.232978,7,40,1,151
-53.372939,-24.983746,7,40,1,298
-52.496441,-23.204124,7,40,2,52
-51.733525,-23.506863,7,40,1,283
-38.237239,-9.401521,7,40,1,54
-43.151047,-19.850147,7,40,1,268
-51.113815,-27.387159,7,40,0,68
-49.034499,-27.686959,7,40,1,64
-55.200473,-23.232943,7,40,1,330
-54.212589,-24.097646,7,40,1,256
-55.846865,-29.806318,7,40,0,67
-45.195450,-5.480959,7,40,0,52
-38.237108,-9.401206,7,40,1,272
-41.078183,-20.924093,7,40,1,352
-40.854480,-4.117709,7,40,0,136
-55.877865,-20.634289,7,40,0,41
-53.777917,-29.678649,7,40,1,156
-40.390984,-9.199529,7,40,1,218
-55.695394,-29.777982,7,40,0,60
-42.459542,-21.877925,7,40,2,81
-52.863127,-26.386705,7,40,2,169
-48.331495,-1.414434,7,40,0,177
