X,Y,TYPE,SPEED,DirType,Direction
-54.580523,-20.480856,1,30,1,235
-46.267249,-23.984341,1,30,1,146
-44.091334,-19.908787,1,30,1,14
-46.549897,-23.120720,1,30,1,99
-46.499591,-23.635544,1,30,1,296
-54.845016,-22.224371,1,30,2,66
-43.030287,-22.665031,1,30,2,117
-44.079869,-19.918421,1,30,1,127
-46.522011,-23.690125,1,30,1,169
-48.388852,-1.354075,1,30,1,36
-46.499867,-23.635460,1,30,1,116
-44.021044,-19.799916,1,30,1,257
-46.801232,-23.675005,1,30,1,90
-44.021542,-19.800110,1,30,1,75
-44.058251,-19.945982,1,30,1,339
-54.600853,-20.439554,1,30,1,220
-44.047347,-19.948011,1,30,1,286
-48.388911,-1.354027,1,30,1,215
-47.550213,-22.397689,1,30,1,86
-55.734041,-22.526574,1,30,1,325
-46.801095,-23.674917,1,30,1,270
-46.364075,-23.417301,1,30,1,73
-54.628774,-20.497442,1,30,1,263
-41.947625,-18.894271,1,30,2,14
-44.031363,-19.932228,1,30,1,193
-47.225616,-23.095112,1,30,1,1
-35.211066,-6.262783,1,30,1,343
-55.734007,-22.526814,1,30,1,145
-54.638845,-20.458292,1,30,1,122
-55.746525,-22.485422,1,30,0,355
-54.646443,-20.496188,1,30,1,86
-54.221031,-23.057247,1,30,1,106
-54.223933,-22.262666,1,30,2,22
-47.771581,-15.906324,1,30,1,128
-35.211235,-6.262284,1,30,1,162
-53.024230,-26.147677,1,30,1,139
-54.645453,-20.476681,1,30,2,30
-55.745158,-22.508533,1,30,0,149
-34.871705,-8.063943,1,30,1,27
-47.776231,-15.896213,1,30,1,161
-46.847531,-23.648544,1,30,1,103
-54.629657,-20.497649,1,30,1,83
-38.532745,-13.007504,1,30,1,150
-53.023910,-26.147777,1,30,1,319
-54.580610,-20.480974,1,30,1,55
-55.743159,-22.511672,1,30,2,329
-44.091283,-19.908390,1,30,1,193
-44.135817,-19.776204,1,30,1,50
-51.485823,-27.619201,1,30,1,239
-44.029201,-19.933728,1,30,1,160
-44.076617,-19.779591,1,30,1,135
-55.722226,-22.531052,1,30,1,235
-55.169834,-21.617704,1,30,1,130
-55.735652,-22.527329,1,30,1,325
-54.619417,-20.451511,1,30,1,350
-44.135759,-19.776131,1,30,1,229
-46.524285,-23.723752,1,30,2,25
-44.036632,-19.913412,1,30,1,7
-55.221895,-23.120273,1,30,1,153
-55.719206,-22.529282,1,30,1,55
-55.169827,-21.617581,1,30,1,310
-55.735791,-22.527277,1,30,1,143
-54.638485,-20.458409,1,30,1,302
-41.976031,-18.855122,1,30,1,154
-38.528659,-13.009660,1,30,1,263
-44.028878,-19.933692,1,30,1,339
-55.221870,-23.120102,1,30,1,333
-55.804468,-20.479720,1,30,2,134
-47.317502,-22.964662,1,30,1,5
-49.754945,-21.672168,1,30,1,330
-54.194972,-23.058688,1,30,1,60
-54.645864,-20.496048,1,30,1,267
-38.526993,-13.009433,1,30,1,84
-46.521836,-23.690430,1,30,1,341
-55.625616,-22.627553,1,30,2,144
-44.031274,-19.932285,1,30,1,16
-47.317522,-22.964539,1,30,1,185
-43.685795,-22.761730,1,30,1,321
-54.208823,-23.065858,1,30,1,60
-46.549949,-23.120663,1,30,1,278
-55.802958,-20.490591,1,30,2,52
-43.806524,-20.601278,1,30,1,27
-44.131106,-19.773073,1,30,2,32
-44.061664,-19.961787,1,30,1,85
-47.317731,-22.960158,1,30,2,161
-55.165324,-21.621275,1,30,1,130
-54.194411,-23.058276,1,30,1,241
-38.528342,-13.009073,1,30,1,261
-55.810624,-20.494789,1,30,2,24
-55.808107,-20.494463,1,30,2,51
-46.937448,-23.604274,1,30,1,38
-46.984367,-23.040672,1,30,1,349
-46.877467,-23.354453,1,30,2,40
-50.924807,-17.790492,1,30,1,244
-54.208583,-23.065616,1,30,1,240
-53.944726,-26.917232,1,30,0,3
-55.807081,-20.487500,1,30,2,24
-50.925110,-17.800271,1,30,2,131
-46.937461,-23.604184,1,30,1,216
-45.611020,-23.775880,1,30,2,59
-42.183404,-20.196780,1,30,0,174
-47.315595,-22.756335,1,30,2,152
-54.212613,-23.059327,1,30,1,285
-44.010718,-19.797639,1,30,1,301
-46.912267,-23.175970,1,30,1,176
-55.168893,-21.630929,1,30,2,86
-54.579710,-20.550137,1,30,2,120
-45.532194,-23.815302,1,30,2,57
-46.518010,-23.622867,1,30,1,231
-41.946304,-18.889568,1,30,2,14
-47.568122,-22.395876,1,30,1,160
