id,latitude,longitude,velocidade_maxima,sentido_tipo,direcao_graus,tipo,fonte,atualizado_em
1,-27.149264,-52.312977,0,UNICO,157.0,LOMBADA_ELETRONICA,iGO8/Amigo - mapa de radar,2026-07-21
2,-27.094325,-52.685662,0,UNICO,97.0,LOMBADA_ELETRONICA,iGO8/Amigo - mapa de radar,2026-07-21
3,-26.913524,-48.911771,0,AMBOS,112.0,LOMBADA_ELETRONICA,iGO8/Amigo - mapa de radar,2026-07-21
4,-27.084735,-53.008309,0,UNICO,318.0,LOMBADA_ELETRONICA,iGO8/Amigo - mapa de radar,2026-07-21
5,-26.823028,-49.16011,0,UNICO,332.0,LOMBADA_ELETRONICA,iGO8/Amigo - mapa de radar,2026-07-21
6,-28.323893,-49.172306,0,UNICO,86.0,LOMBADA_ELETRONICA,iGO8/Amigo - mapa de radar,2026-07-21
7,-27.84589,-48.599286,0,AMBOS,62.0,LOMBADA_ELETRONICA,iGO8/Amigo - mapa de radar,2026-07-21
8,-26.766915,-49.079906,0,UNICO,9.0,LOMBADA_ELETRONICA,iGO8/Amigo - mapa de radar,2026-07-21
9,-30.003533,-51.081145,0,UNICO,45.0,LOMBADA_ELETRONICA,iGO8/Amigo - mapa de radar,2026-07-21
10,-27.086883,-53.002423,0,UNICO,53.0,LOMBADA_ELETRONICA,iGO8/Amigo - mapa de radar,2026-07-21
11,-26.912885,-48.981577,0,AMBOS,137.0,LOMBADA_ELETRONICA,iGO8/Amigo - mapa de radar,2026-07-21
12,-27.404241,-49.60386,0,UNICO,176.0,LOMBADA_ELETRONICA,iGO8/Amigo - mapa de radar,2026-07-21
13,-28.277703,-49.137606,0,AMBOS,75.0,LOMBADA_ELETRONICA,iGO8/Amigo - mapa de radar,2026-07-21
14,-30.002832,-51.080343,0,UNICO,225.0,LOMBADA_ELETRONICA,iGO8/Amigo - mapa de radar,2026-07-21
15,-27.131954,-52.614709,0,DESCONHECIDO,177.0,LOMBADA_ELETRONICA,iGO8/Amigo - mapa de radar,2026-07-21
16,-27.096205,-52.667997,0,UNICO,97.0,LOMBADA_ELETRONICA,iGO8/Amigo - mapa de radar,2026-07-21
17,-28.31952,-49.085984,0,AMBOS,137.0,LOMBADA_ELETRONICA,iGO8/Amigo - mapa de radar,2026-07-21
18,-26.826191,-49.311749,0,UNICO,259.0,LOMBADA_ELETRONICA,iGO8/Amigo - mapa de radar,2026-07-21
19,-26.768463,-53.185118,0,UNICO,70.0,LOMBADA_ELETRONICA,iGO8/Amigo - mapa de radar,2026-07-21
20,-27.660338,-53.636401,0,AMBOS,10.0,LOMBADA_ELETRONICA,iGO8/Amigo - mapa de radar,2026-07-21
21,-26.774971,-53.190495,0,UNICO,21.0,LOMBADA_ELETRONICA,iGO8/Amigo - mapa de radar,2026-07-21
22,-27.662472,-53.636868,0,AMBOS,10.0,LOMBADA_ELETRONICA,iGO8/Amigo - mapa de radar,2026-07-21
23,-27.26706,-48.856968,0,AMBOS,66.0,LOMBADA_ELETRONICA,iGO8/Amigo - mapa de radar,2026-07-21
24,-26.766913,-49.079972,0,UNICO,189.0,LOMBADA_ELETRONICA,iGO8/Amigo - mapa de radar,2026-07-21
25,-27.664731,-53.637002,0,AMBOS,180.0,LOMBADA_ELETRONICA,iGO8/Amigo - mapa de radar,2026-07-21
26,-27.075092,-48.90168,0,UNICO,33.0,LOMBADA_ELETRONICA,iGO8/Amigo - mapa de radar,2026-07-21
27,-27.266876,-50.441719,0,UNICO,170.0,LOMBADA_ELETRONICA,iGO8/Amigo - mapa de radar,2026-07-21
28,-26.790801,-49.086723,0,UNICO,195.0,LOMBADA_ELETRONICA,iGO8/Amigo - mapa de radar,2026-07-21
29,-27.45796,-53.698299,0,AMBOS,115.0,LOMBADA_ELETRONICA,iGO8/Amigo - mapa de radar,2026-07-21
30,-26.968657,-48.639321,0,UNICO,356.0,LOMBADA_ELETRONICA,iGO8/Amigo - mapa de radar,2026-07-21
31,-26.889796,-48.756873,0,DESCONHECIDO,55.0,LOMBADA_ELETRONICA,iGO8/Amigo - mapa de radar,2026-07-21
32,-27.457438,-53.699017,0,AMBOS,140.0,LOMBADA_ELETRONICA,iGO8/Amigo - mapa de radar,2026-07-21
33,-26.966141,-48.639541,0,UNICO,177.0,LOMBADA_ELETRONICA,iGO8/Amigo - mapa de radar,2026-07-21
34,-26.899815,-49.010517,0,UNICO,61.0,LOMBADA_ELETRONICA,iGO8/Amigo - mapa de radar,2026-07-21
35,-26.899757,-49.010557,0,UNICO,241.0,LOMBADA_ELETRONICA,iGO8/Amigo - mapa de radar,2026-07-21
36,-26.902715,-48.830316,0,AMBOS,55.0,LOMBADA_ELETRONICA,iGO8/Amigo - mapa de radar,2026-07-21
37,-27.263517,-48.842451,0,AMBOS,57.0,LOMBADA_ELETRONICA,iGO8/Amigo - mapa de radar,2026-07-21
38,-28.380214,-49.017476,0,AMBOS,138.0,LOMBADA_ELETRONICA,iGO8/Amigo - mapa de radar,2026-07-21
39,-26.996564,-48.889409,0,AMBOS,90.0,LOMBADA_ELETRONICA,iGO8/Amigo - mapa de radar,2026-07-21
40,-26.887288,-48.73535,0,UNICO,103.0,LOMBADA_ELETRONICA,iGO8/Amigo - mapa de radar,2026-07-21
41,-26.790822,-49.086665,0,UNICO,15.0,LOMBADA_ELETRONICA,iGO8/Amigo - mapa de radar,2026-07-21
42,-26.991194,-48.907621,0,AMBOS,139.0,LOMBADA_ELETRONICA,iGO8/Amigo - mapa de radar,2026-07-21
43,-26.880031,-49.343705,0,UNICO,222.0,LOMBADA_ELETRONICA,iGO8/Amigo - mapa de radar,2026-07-21
44,-26.880098,-49.343711,0,UNICO,45.0,LOMBADA_ELETRONICA,iGO8/Amigo - mapa de radar,2026-07-21
45,-26.90696,-52.702992,0,UNICO,186.0,LOMBADA_ELETRONICA,iGO8/Amigo - mapa de radar,2026-07-21
46,-27.03923,-48.864092,0,UNICO,50.0,LOMBADA_ELETRONICA,iGO8/Amigo - mapa de radar,2026-07-21
47,-26.72143,-52.742661,0,AMBOS,12.0,LOMBADA_ELETRONICA,iGO8/Amigo - mapa de radar,2026-07-21
48,-26.447701,-52.830921,0,AMBOS,153.0,LOMBADA_ELETRONICA,iGO8/Amigo - mapa de radar,2026-07-21
49,-26.44472,-52.833644,0,AMBOS,132.0,LOMBADA_ELETRONICA,iGO8/Amigo - mapa de radar,2026-07-21
50,-26.441474,-52.837164,0,AMBOS,135.0,LOMBADA_ELETRONICA,iGO8/Amigo - mapa de radar,2026-07-21
51,-26.35222,-52.858655,0,AMBOS,40.0,LOMBADA_ELETRONICA,iGO8/Amigo - mapa de radar,2026-07-21
52,-26.240237,-52.695318,0,DESCONHECIDO,42.0,LOMBADA_ELETRONICA,iGO8/Amigo - mapa de radar,2026-07-21
53,-26.196755,-52.687245,0,AMBOS,148.0,LOMBADA_ELETRONICA,iGO8/Amigo - mapa de radar,2026-07-21
54,-26.188973,-52.689907,0,AMBOS,165.0,LOMBADA_ELETRONICA,iGO8/Amigo - mapa de radar,2026-07-21
55,-26.160136,-52.698003,0,AMBOS,154.0,LOMBADA_ELETRONICA,iGO8/Amigo - mapa de radar,2026-07-21
56,-26.267319,-52.702344,0,AMBOS,79.0,LOMBADA_ELETRONICA,iGO8/Amigo - mapa de radar,2026-07-21
57,-25.952021,-52.819351,0,AMBOS,152.0,LOMBADA_ELETRONICA,iGO8/Amigo - mapa de radar,2026-07-21
58,-25.930494,-52.829323,0,AMBOS,124.0,LOMBADA_ELETRONICA,iGO8/Amigo - mapa de radar,2026-07-21
59,-25.986539,-52.812107,0,AMBOS,177.0,LOMBADA_ELETRONICA,iGO8/Amigo - mapa de radar,2026-07-21
60,-25.981418,-52.567259,0,AMBOS,97.0,LOMBADA_ELETRONICA,iGO8/Amigo - mapa de radar,2026-07-21
61,-25.980109,-52.570238,0,AMBOS,99.0,LOMBADA_ELETRONICA,iGO8/Amigo - mapa de radar,2026-07-21
62,-27.265631,-48.766761,0,AMBOS,95.0,LOMBADA_ELETRONICA,iGO8/Amigo - mapa de radar,2026-07-21
63,-26.007997,-52.568511,0,AMBOS,22.0,LOMBADA_ELETRONICA,iGO8/Amigo - mapa de radar,2026-07-21
64,-25.978663,-52.574004,0,AMBOS,148.0,LOMBADA_ELETRONICA,iGO8/Amigo - mapa de radar,2026-07-21
65,-27.150577,-52.303805,0,UNICO,261.0,LOMBADA_ELETRONICA,iGO8/Amigo - mapa de radar,2026-07-21
66,-26.001884,-52.561215,0,AMBOS,4.0,LOMBADA_ELETRONICA,iGO8/Amigo - mapa de radar,2026-07-21
67,-25.983611,-52.563296,0,AMBOS,136.0,LOMBADA_ELETRONICA,iGO8/Amigo - mapa de radar,2026-07-21
68,-26.612221,-49.011306,0,UNICO,30.0,LOMBADA_ELETRONICA,iGO8/Amigo - mapa de radar,2026-07-21
69,-26.000756,-52.561057,0,AMBOS,13.0,LOMBADA_ELETRONICA,iGO8/Amigo - mapa de radar,2026-07-21
70,-25.989345,-52.556497,0,UNICO,303.0,LOMBADA_ELETRONICA,iGO8/Amigo - mapa de radar,2026-07-21
71,-27.374255,-51.905959,0,AMBOS,72.0,LOMBADA_ELETRONICA,iGO8/Amigo - mapa de radar,2026-07-21
72,-27.373226,-51.904892,0,AMBOS,43.0,LOMBADA_ELETRONICA,iGO8/Amigo - mapa de radar,2026-07-21
73,-27.371907,-51.90338,0,AMBOS,49.0,LOMBADA_ELETRONICA,iGO8/Amigo - mapa de radar,2026-07-21
74,-27.370804,-51.901881,0,AMBOS,50.0,LOMBADA_ELETRONICA,iGO8/Amigo - mapa de radar,2026-07-21
75,-27.369868,-51.900585,0,AMBOS,50.0,LOMBADA_ELETRONICA,iGO8/Amigo - mapa de radar,2026-07-21
76,-27.374045,-51.907864,0,AMBOS,112.0,LOMBADA_ELETRONICA,iGO8/Amigo - mapa de radar,2026-07-21
77,-27.404048,-51.778888,0,AMBOS,101.0,LOMBADA_ELETRONICA,iGO8/Amigo - mapa de radar,2026-07-21
78,-27.404225,-51.778121,0,AMBOS,114.0,LOMBADA_ELETRONICA,iGO8/Amigo - mapa de radar,2026-07-21
79,-27.404406,-51.775835,0,AMBOS,97.0,LOMBADA_ELETRONICA,iGO8/Amigo - mapa de radar,2026-07-21
80,-27.405176,-51.773377,0,AMBOS,133.0,LOMBADA_ELETRONICA,iGO8/Amigo - mapa de radar,2026-07-21
81,-27.406996,-51.773177,0,AMBOS,175.0,LOMBADA_ELETRONICA,iGO8/Amigo - mapa de radar,2026-07-21
82,-27.409624,-51.772494,0,AMBOS,174.0,LOMBADA_ELETRONICA,iGO8/Amigo - mapa de radar,2026-07-21
83,-28.059181,-52.678959,0,UNICO,164.0,LOMBADA_ELETRONICA,iGO8/Amigo - mapa de radar,2026-07-21
84,-28.058046,-52.679337,0,UNICO,161.0,LOMBADA_ELETRONICA,iGO8/Amigo - mapa de radar,2026-07-21
85,-28.055591,-52.680442,0,UNICO,157.0,LOMBADA_ELETRONICA,iGO8/Amigo - mapa de radar,2026-07-21
86,-27.039098,-48.864058,0,UNICO,230.0,LOMBADA_ELETRONICA,iGO8/Amigo - mapa de radar,2026-07-21
87,-29.381426,-51.115527,0,UNICO,211.0,LOMBADA_ELETRONICA,iGO8/Amigo - mapa de radar,2026-07-21
88,-28.672509,-53.60421,0,AMBOS,110.0,LOMBADA_ELETRONICA,iGO8/Amigo - mapa de radar,2026-07-21
